Method,Size,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10
generalized_dot,100,0.0001681,1.2e-6,1.2e-6,1.2e-6,1.1e-6,1.1e-6,1.0e-6,1.1e-6,1.1e-6,1.1e-6
multiply_matrix_vector,100,1.2e-6,1.0e-6,1.1e-6,1.8e-6,1.0e-6,1.0e-6,9.0e-7,9.0e-7,1.1e-6,1.0e-6
generalized_dot,150,4.83e-5,2.4e-6,2.5e-6,2.5e-6,2.5e-6,2.7e-6,2.5e-6,2.4e-6,3.3e-6,2.5e-6
multiply_matrix_vector,150,2.3e-6,2.0e-6,2.2e-6,2.1e-6,2.2e-6,2.0e-6,2.1e-6,2.2e-6,2.1e-6,2.2e-6
generalized_dot,200,8.9e-6,3.8e-6,3.5e-6,3.6e-6,3.7e-6,3.7e-6,3.8e-6,3.8e-6,6.0e-6,1.33e-5
multiply_matrix_vector,200,3.4e-6,3.4e-6,3.3e-6,3.4e-6,3.2e-6,3.5e-6,3.7e-6,3.4e-6,4.0e-6,4.4e-6
generalized_dot,250,2.28e-5,8.0e-6,8.4e-6,6.4e-6,7.0e-6,2.25e-5,6.5e-6,6.3e-6,7.1e-6,6.6e-6
multiply_matrix_vector,250,1.12e-5,6.1e-6,6.0e-6,5.8e-6,6.1e-6,6.9e-6,5.8e-6,6.0e-6,9.0e-6,6.2e-6
generalized_dot,300,1.02e-5,1.49e-5,1.09e-5,1.09e-5,1.08e-5,1.37e-5,9.4e-6,9.8e-6,1.03e-5,1.21e-5
multiply_matrix_vector,300,8.9e-6,8.9e-6,1.11e-5,9.5e-6,9.0e-6,1.82e-5,8.7e-6,9.0e-6,9.1e-6,9.1e-6
generalized_dot,350,2.25e-5,1.95e-5,1.66e-5,2.31e-5,3.37e-5,2.63e-5,5.98e-5,1.42e-5,3.06e-5,1.61e-5
multiply_matrix_vector,350,1.27e-5,1.55e-5,1.25e-5,1.27e-5,1.38e-5,1.57e-5,1.32e-5,1.26e-5,1.27e-5,1.23e-5
generalized_dot,400,3.33e-5,3.36e-5,1.76e-5,2.35e-5,1.71e-5,2.19e-5,2.12e-5,2.4e-5,2.03e-5,1.93e-5
multiply_matrix_vector,400,1.6e-5,2.17e-5,1.6e-5,1.61e-5,1.55e-5,1.55e-5,1.55e-5,1.68e-5,1.75e-5,1.94e-5
generalized_dot,450,3.12e-5,5.55e-5,7.85e-5,5.57e-5,5.72e-5,4.75e-5,4.19e-5,3.05e-5,2.87e-5,3.38e-5
multiply_matrix_vector,450,2.13e-5,2.04e-5,2.07e-5,2.03e-5,2.28e-5,2.02e-5,2.03e-5,2.02e-5,2.06e-5,2.13e-5
generalized_dot,500,6.27e-5,6.56e-5,8.07e-5,0.0001007,6.52e-5,5.6e-5,3.74e-5,5.98e-5,6.88e-5,4.16e-5
multiply_matrix_vector,500,5.18e-5,3.27e-5,2.86e-5,2.58e-5,2.47e-5,2.71e-5,2.4e-5,2.38e-5,2.42e-5,2.41e-5
generalized_dot,550,0.0001289,0.0001339,0.0001379,8.91e-5,8.41e-5,4.63e-5,9.7e-5,6.45e-5,0.0001466,9.92e-5
multiply_matrix_vector,550,3.12e-5,4.36e-5,3.59e-5,3.06e-5,3.06e-5,2.9e-5,3.19e-5,3.02e-5,3.28e-5,2.93e-5
generalized_dot,600,7.5e-5,0.0001331,6.44e-5,5.58e-5,0.0001177,0.0001876,0.0002329,6.02e-5,0.0001041,0.0002051
multiply_matrix_vector,600,3.86e-5,4.35e-5,4.35e-5,3.43e-5,4.72e-5,6.98e-5,7.57e-5,3.52e-5,3.58e-5,0.0001122
generalized_dot,650,0.0002451,0.0002248,0.0001126,8.26e-5,0.0002067,0.0002497,0.0002075,0.0001692,0.0001566,0.0002426
multiply_matrix_vector,650,0.0001039,9.73e-5,4.06e-5,4.69e-5,0.0001605,0.000297,7.73e-5,5.69e-5,4.84e-5,0.0001228
generalized_dot,700,0.0050723,0.0004488,0.0002712,0.0002498,0.000206,0.0002357,0.0002445,0.0002362,0.0001762,0.0002693
multiply_matrix_vector,700,0.0001371,0.0002311,0.0001178,7.65e-5,0.000127,0.0001635,9.23e-5,9.66e-5,7.24e-5,0.0002178
generalized_dot,750,0.0003501,0.0002491,0.0002768,0.0002515,0.0002789,0.0003457,0.0002919,0.0002593,0.0002895,0.0002885
multiply_matrix_vector,750,0.0001467,9.28e-5,0.0002139,9.51e-5,0.0001265,0.000184,0.0001473,0.0001093,0.0001097,0.0002247
generalized_dot,800,0.000347,0.0003143,0.0003036,0.000269,0.0003121,0.0002905,0.0003146,0.0003497,0.0002979,0.0003764
multiply_matrix_vector,800,0.000184,0.0002615,0.0001539,0.0001641,0.0001283,0.0002349,0.0002018,0.0001857,0.0001126,0.0002382
generalized_dot,850,0.0002958,0.0003264,0.0004916,0.0003444,0.0003852,0.0003976,0.0004169,0.000408,0.0003673,0.0003188
multiply_matrix_vector,850,0.0001894,0.0002547,0.0003215,0.0002115,0.0005814,0.000209,0.0003088,0.0003078,0.0001954,0.000169
generalized_dot,900,0.0003342,0.0003877,0.0003869,0.0004401,0.0003919,0.0007339,0.0003809,0.0004572,0.0004251,0.00058
multiply_matrix_vector,900,0.0002102,0.000251,0.00052,0.0003325,0.0001451,0.0003331,0.0001529,0.000371,0.0002762,0.0003379
generalized_dot,950,0.0003654,0.0004179,0.0005144,0.0004858,0.0003823,0.0004674,0.0003831,0.0003837,0.0003903,0.0003922
multiply_matrix_vector,950,0.0002468,0.0003107,0.0004631,0.0011277,0.0002573,0.0002777,0.0002287,0.0001977,0.0002736,0.0003014
generalized_dot,1000,0.0006431,0.0004317,0.0014938,0.0004594,0.0004352,0.0005683,0.0004295,0.0004019,0.0006128,0.0004771
multiply_matrix_vector,1000,0.0004944,0.0003406,0.0004724,0.0004366,0.0003023,0.0004158,0.00038,0.000438,0.0004552,0.0003307
